index,text,label
568,11649 times KEKW,clean
1961,!subs,clean
645,what did they do to you @Yamikazexz,clean
1125,No solo ranked in SEA DED,clean
1657,Look at these vacuums,clean
2388,LUL LUL LUL LUL LUL LUL LUL LUL,clean
1774,@Frank_Drebin451 yes danucd using it too,clean
2066,they go super drop,clean
2404,guys where to watch ??,clean
1394,Arm E D,clean
1046,HELL NO,clean
2209,6th guy,clean
407,shit is so cringe and over done,clean
50,It's like lol bitch you thought,clean
689,YEP,clean
2666,been 2 weeks 1since i've been able to lunch with ham!,clean
576,hi yamikaze do you know enthralled?,clean
1971,dizzy_face:,clean
1861,danucdWinner danucdWinner danucdWinner danucdWinner danucdWinner danucdWinner danucdWinner danucdWinner danucdWinner danucdWinner danucdWinner danucdWinner danucdWinner danucdWinner,clean
1902,A giveaway for: game has started! Subscribers can Join!,clean
1865,faxGG faxGG faxGG,clean
781,hes too smart,clean
483,@RiotSupport hi is there any update when riot will make a new and usable client for league of legends? Thanks,clean
2035,asia sever is many china player..,clean
1807,Who's victor Kappa,clean
810,Ur not an assassin if u donÕt one tap the adc,clean
2590,114 kills again? you're a legend,clean
855,osu? woow,clean
777,700 true dmg on 1 Q there KEKW,clean
2684,!gift @shanabana,clean
1244,white_medium_star:,clean
2536,!hype,clean
2515,have you ever played with clib? @hambinooo,clean
2413,did u like that solo ranked @ibiza,clean
287,"FUCK IT, VLAD IT IS",clean
562,u succ LUL,clean
330,oh so jg duo means you roam and shit together?,clean
184,you mean blind pick?,clean
1516,!hs,clean
2039,XD I am gonna get that catch-phrased I promise Tig lol,clean
2130,tgl3Head,clean
2149,tglGG,clean
2593,i def. get the phantom footsteps,clean
688,800,clean
2299,what's the song name,clean
704,gg,clean
2331,Scrims at 1900 CET to be streamed at (stream: tba),clean
1412,@HamitCanKilic why i cant donate without login in with my fb or soemthing,clean
2468,Does ranked solos have 100 players? @hambinooo,clean
1353,@xDEEDAN bot danucdDanu2,clean
582,YOU'RE SO GOOD,clean
1049,hell yeaaahh,clean
2156,DendiFace gg,clean
1418,ooo we get a chickirhinooooo,clean
1612,danucdNo Fattttttiiiiiiiiiiiiiiiiiiiiiiii,clean
2422,Bose QC20 (apple version). Ibi uses in ears instead of a headset because he has to use in ears at LANs. This way he gets used to it ibiW,clean
2240,you need to say niu bi instead of number one,clean
2758,the best,clean
2303,hello sir how are u,clean
1588,PeepoWeen,clean
2186,control setting and dpi,clean
547,"expose yourself :

1.nop
2. No
3. No
4. Blue , pink
5. M
6. Hiii let's play league of legends
7. Both
8. Idk
9. Idk they don't even reply me-
10. No
11. Ye
12. No
13. ðŸ¤¡

drop an emoji and iâ€™ll send you the questions",clean
1617,Greetings from New Orleans,clean
2298,4X m249 op on sanhok,clean
142,My mains were  magic exo and the brawler,clean
2214,why asia server ?,clean
494,"@RisenEsportsNA Just doing the right thing @RisenEsportsNA.

However, I better not catch you doing the same thing for your League of Legends team competing in @UpsurgeGG.",clean
1975,I can help you translate chinese,clean
1196,Maybe it?s talking about her smoothie PogChamp,clean
770,Yami is my best friend,clean
1667,MsRoselyn nairidHerz nairidHerz danucdHi parunaHi,clean
1888,NotLikeThis danucdFacepalm chat,clean
1295,chocotGotem chocotGotem chocotGotem,clean
1258,danucdSaspisas danucdSASPISHAS,clean
1296,danucdRespect danucdDance2 danucdBack2back danucdDance2 danucdBack2back danucdDance2 danucdBack2back danucdDance danucdDance2 danucdDance danucdDance2 danucdDance danucdDance2 danucdDance forsenPls SourPls,clean
1650,@adooool18 on the way danucdSaspisas,clean
434,but they do it such a i dont give a shit way,clean
2611,Spoopy hamtime,clean
2417,some good players,clean
2117,@mfyntz tgl5Head,clean
1445,danucdRespect danucdPOG danucdRespect danucdPOG danucdRespect danucdPOG danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect,clean
2110,as you can see so clearly with those on low?,clean
642,Sooooo if u say u have a GF ur actually lying so 5head,clean
202,Quite the shit,clean
1171,When is ps4 and xbox pts server finished? What date and time (uk) please? Thanks,clean
2554,centralia of the vibes,clean
1749,"Well,rip clips alisaYikes",clean
765,"Wait a sec, this isnt my favorite champion",clean
33,"well
a champ remains in the game forever so",clean
509,Northwood League of Legends finishes (5-3) on the weekend and takes 3rd place in the @DruryEsports invitational! ðŸº#wolfpack,clean
2083,its really hard with your ping,clean
2091,ahhh gotcha,clean
252,man i hate darius so much hes so stupid,clean
302,Holy fuck you actually did it you madman,clean
2278,smh thats why i use the m4 long range,clean
1514,@SmirnofSoldier all good and you... danucdRespect danucdHi,clean
669,215 cs,clean
2138,I can translate for ya if u want,clean
1782,jd,clean
1234,"danu) Weather for Danu, MD: Overcast clouds with a temperature of 12.5 C (54.5 F). Wind is blowing from the North at 3.2 kph (1.99 mph) and the humidity is 92%",clean
2168,shes a girl...DAAAA,clean
1493,@jrrod91 do you think a new clip is a spam,clean
2518,@hambinooo sorry for ruining your fun,clean
631,what matchups do you take elec on talon and what champs do u take conq on him?,clean
265,time to get some free shit,clean
574,Yami has inted 11650 times KEKW,clean
735,I mean Camille and Sett do so much True Damage so who cares about armor,clean
1326,1G$,clean
1969,iam_GH0ST ive decided to embrace it and being bad is now my brand,clean
690,BALANCED KEKW,clean
2213,how do you play with such high ping,clean
1768,@melihozkiremitci cya,clean
231,>  it's here!!!! What the fuck is that?,clean
76,hecarim is busted more,clean
2598,"as an OG pubg player who has taken like 6 months off, the sounds are wack to get used too.",clean
598,"last time i played talon, talon jungle was not legitimately playable, is that still true",clean
2236, i have nothing,clean
1520,"@jrrod91, This item is on cooldown",clean
1644,PogChamp PogChamp PogChamp,clean
306,Samira is sick as fuck omg,clean
103,Just due to their sheer kits and presence they have,clean
1745,WeirdChamp,clean
1844,can you show us your damage after you finishthe game plz,clean
1696,danucdPotato LUL,clean
1767,is G fuel good,clean
2754,too E Z,clean
1268,thanks for the giffted sub who ever gave it me @DanucD,clean
586,YAMI STOP YOU'RE GOOD,clean
322,yes ionians are fun as fuck,clean
1765,@melihozkiremitci danucdHi danucdHi,clean
1948,rawryyLaugh @cinnova,clean
2513,winking_face:,clean
2563,@hf_spinach happy thursday!!,clean
2903,toxic spammer @hamitcankilic,toxic
344,dont u dare put the yuumi passive in there fuck u,toxic
180,my god the stupidity of people,toxic
2801,@guccixslaya cheaters suck hard tho,toxic
206,THIS GAME MIGHT AS WELL RESET MY FUCKING LP TO 0,toxic
2846,the hell was that,toxic
228,how can that even be fucking compared?,toxic
2822,wtf is this nice @Grizz shit,toxic
1034,> cod is crap which one?,toxic
905,HOLY SHIT karthus busted KEKW,toxic
2904,its banana its banana,toxic
213,WHAT THE FUCKING FUCK IS THIS FUCKING RECALL ANIMATION,toxic
402,man yuumi jng is fucking annoying,toxic
1081,Stupid net tbh,toxic
2936,SUCK,toxic
978,because cosmic 1st is shit @Thebausffs,toxic
1010,"""hmm I have never played this game, should I play squad or solo?""  ""fuck it lets play squad so i can fuck up my squadmates"" retard starter pack",toxic
247,"> Fuck, I just died by the twitch. look at death recap",toxic
2938,@RuralBiscuits damn - i knew it!,toxic
2772,"@keckzn have a time out, come back when you're done saying dumb shit",toxic
439,screw that shit,toxic
1053,Hell no ew,toxic
2864,oh shit my boy is bigtime,toxic
1087,The only idiot is you.,toxic
895,@buttery_butt1094 YEAH shit funny af,toxic
212,"> WHAT THE FUCKING FUCK IS THIS FUCKING RECALL ANIMATION  recall animation may be shit, but holy fuck the effects and animation are good",toxic
1019,OH SHIT DESYNC YOUR DEAD,toxic
418,HOLY FUCKING,toxic
423,No fucking shit it is,toxic
372,Cuz of that stupid strat,toxic
2834,Taking a shit ehun ehun ehun ehun,toxic
331,why the *fuck* do people in plat just s u c k,toxic
523,"RT @PeterXinping: If You Want To Get Girls You Should Just Be Yourself! 

Unless Youâ€™re 5â€™8, No Muscles, 3000 Hours League Of Legends, Twitâ€¦",toxic
292,Being memed for releasing an overpowered adc and being shit on by the whole community.Rito after a few months: â€œ Iâ€™ll fucking do it again.â€,toxic
207,FUCKING HELL,toxic
914,or until u get shit on LUL,toxic
1043,stop bypassing the chat you idiot,toxic
535,"why do people say that fortnite is toxic, there literally isnt any proximity chat or ingame text chat or any of that, league of legends is 100x more toxic generally",toxic
370,like holy shit make it stop,toxic
1003,here I just an administrator up my ass,toxic
389,wiat then what the fuck,toxic
1061,Melanie is in hell now,toxic
1002,so its not the fucking card,toxic
355,oh shit guys,toxic
463,he fuck,toxic
455,what the fuck is this,toxic
1027,why did pubg add this creepy shit?,toxic
319,What the fuck is that,toxic
1057,Like what the hell is this,toxic
349,Yeah with what? A short ass hop that gets you nearly nowhere? An ult that is SO fucking long,toxic
1060,why he is calling u idiot tho? ðŸ˜®,toxic
445,> fuck off,toxic
891,shit happens,toxic
363,this game is annoying as fuck,toxic
376,gold is such a shit hole man,toxic
401,nexus blitz is ass,toxic
2899,how are you banananas today,toxic
501,Iâ€™m married to the game and the game is league of legends and I want a divorce,toxic
278,"win the fight, die to a fucking mushroom walking away",toxic
227,the fuck you talking about brother?,toxic
346,I wanna cry when I get them on my team useless sack of shit but when. Other team has them they just disappear and reappearing while somehow doing more damage with a blow dart then a fucking rek si,toxic
2779,Its a shit situation!,toxic
2844,"i hate the camps, i always come out with shit loot",toxic
191,"> Yo Riot wtf 
 fuck brand he always deals the most damage for some reason EVERY GANE",toxic
865,PLAY SOME NIGHTCORE WEEB SHIT,toxic
246,"Fuck, I just died by the twitch.",toxic
1032,Like Hell Do I Care.,toxic
347,this shit is like adc graves,toxic
358,oh shit,toxic
35,no katarina in 0/5/2 we won't gank your yasuo,toxic
320,bruh what the fuck is this match making,toxic
464,And my friend had to fucking choose tahm kench,toxic
994,"@der_bisang he can miss it, long cd, needs grit. camille? she doesn't give a shit, spam Q for 1k true dmg YEP",toxic
2781,"she's listening through the door, shut the fuck up dad",toxic
342,> who the FUCK plays asol i BAN aury sol,toxic
1001,Wtf thats stupidðŸ˜‚ðŸ˜‚,toxic
2803,how the fuck that last bullet didn't kill you,toxic
973,holy shit PogU,toxic
255,may I ask why the fuck shen is a thing?,toxic
203,YEAH U WERE RIGHT BITCH JUST THE OTHER JUNGLER,toxic
272,i swear to fucking god,toxic
245,oh fuck i got one of those omnistone bards in my ranked game,toxic
288,and tell you that kayle is ugly and stupid and is a loser,toxic
2941,wtffffffffffffff,toxic
477,"I like League of legends because I had a guy say I don't care about the role I got I'm playing what I want, then he went 1/9",toxic
1037,Its my stupid earphones,toxic
311,fuck man,toxic
950,smd = shake my dick?,toxic
1096,Meebot is shit,toxic
359,who shit on us,toxic
283,HOW LE FUCK DO I FIGHT AHRI,toxic
403,what the fuck?,toxic
999,I suck so bad loool,toxic
361,He just fucking runs,toxic
966,IDIOT STOP COMPLAINING LUILW,toxic
241,fuck these team mates,toxic
2890,"@Tomshepmx going fucking great, you mate?",toxic
1068,Dont bother with salty lol he's tryna make yall look like an idiot when he is the moron himself,toxic
1042,>  stop bypassing the chat you idiot,toxic
13, love how i cant win even with me playing well,toxic
20,so he decided its my fault and wanted to ruin everyons game,toxic
360,absolute fucking bullshit,toxic
293,then ezreal says shut the fuck up mutedthen they both die to the first gank of the game 10 seconds after it was warnedand then they say jungle diff,toxic
416,because its fucking bronze,toxic
450,sucks ass,toxic
990,that harvesting shit mythic with gragas is insane tbh,toxic
1056,play this stupid shat,toxic
380,played like shit,toxic
375,no fuck off,toxic
1048,shady as hell,toxic
1031,Who else hate their life?,toxic
411,"it was the evelynn game, he even stole my fucking champ",toxic
273,Don't fuck it up,toxic
1095,the hell is a karak?,toxic
335,where le fuck is psyops kayle,toxic
221,this feels so shit,toxic
2885,oh shit man... great stuff!,toxic
1097,bc my stupid dog eat it,toxic
257,who the fuck uses D for flashbanning whoever says me,toxic
200,how do i get these fucking things off my recommended,toxic
2937,but it sucks that we dont have enough player to do that now @hambinooo,toxic
2942,daaaaam,toxic
55,just dont care,toxic
243,so fucking dumb,toxic
1000,this suck,toxic
2914,there are many cheaters in china,toxic
2922,Dude tglWtf,toxic
1039,emojis here suck tbh,toxic
34,laners dying even with vision ðŸ¤¡,toxic
880,love how nobody gives a fuck,toxic
256,"Obligatory ""fuck Udyr""",toxic
1054,Get the hell out,toxic
338,this fucking yi,toxic
921,Wiping shit WutFace,toxic
2867,Ass to mouth,toxic
1069,The hell,toxic
351,And wtf are u a winrate friend? Who gives a fuck,toxic
1076,Shit up,toxic
340,fuck support yuumi,toxic
291,fuck,toxic
1025,Who put me on the RNG shit list?,toxic
281,Like the fuck am i gonna do with that info.,toxic
887,"Fuck off chat, that guy deserves to be banned for risking this channels life",toxic
226,which is dumb as fuck lmao,toxic
1066,Hell nahh,toxic
1083,They suck,toxic
366,stupid morgana players,toxic
280,HOW THE HELL IS THIS AN A,toxic
2902,All the subs because your bananas love you danucdBukulove mtgngHype @DanucD,toxic
294,Im not a fucking loser,toxic
395,fuck that,toxic
1070,im stupid hbu?ðŸ™‡,toxic
290,eat shit riot,toxic
1005,How to mute this shit,toxic
2865,Have you tried sleeping ass up?,toxic
21,dont know why every game i get people like this on my team,toxic
424,I'm safe for now so fuck you guys,toxic
313,shit,toxic
951,@Thebausffs just scared the shit out of my dog,toxic
2869,ohh shit summit retired ?,toxic
1080,What the hell is that,toxic
2895,Start with this and upgrade if it's shit,toxic
304,fuck this mmr god why,toxic
364,o m y fucking god AGAIN?,toxic
263,> why the fuck i get the code of conduct shit every time i open league clientPromise you will be a good player?,toxic
117,TOP 0.1% popularity 33.3% win rate,toxic
446,Annoying ass dog champ,toxic
381,he has 60 fucking dashes,toxic
371,thats shit,toxic
2863,this map is dog shit for squads. absolute dog shit,toxic
2877,Good shit,toxic
379,fuck that champion and his entire bullshit kit,toxic
148,I dislike games where I carry and my team feeds ;/,toxic
204,Lol when adc became weak as shit I was like wtf happened did I just become ass turns out it wasnâ€™t me,toxic
324,FUCKING WOWOW,toxic
2833,madar bitch don't kill us,toxic
937,The fuck was that Fiora thinking? Diving base against 4 people and typing wtf in all chat so dumb,toxic
211,70 mana for that shit,toxic
1058,I hate my life,toxic
354,what the hell??,toxic
2847,Shootin the shit smokin sum herb,toxic
962,fiesta fiesta pluma pluma gay,toxic
2797,shit winds are acomin'!,toxic
2905,"Have a great day/night bananas, i gotta go . danucdHi Later danucdBukulove",toxic
339,feed them and said what the fuck could i do,toxic
318,like what the actual fuck is that,toxic
437,Fuck that champ,toxic
310,but fuck riven,toxic
1074,cause im an idiot lol,toxic
2791,i like how you dont talk shit about your dick neighbour cause he prob gonna rewatch your stream,toxic
2786,STOP DOING WHAT I THINK IS SHIT STREAMER,toxic
2940,damnnn,toxic
2849,Stupid decisions mean stupid result,toxic
1065,I suck at all but at least I dont die in the beginning smfh,toxic
323,basically a huge fuck you to all assassins,toxic
303,fuck this team,toxic
378,fuck shen,toxic
220,Fuck up a turret dive as graves and went afk,toxic
321,I fucking hate lux,toxic
1045,oh crap ruby u awake ??,toxic
